monthly_income,income_stability,bill_payment_ratio,recharge_regularity,monthly_spending,savings_ratio,transaction_frequency,payment_delay_days,spending_to_income,cashflow_consistency,risk_band
33061,7,0.72,5,6161,0.6,135,12,0.19,2,LOW
89252,10,0.49,5,43751,0.51,46,11,0.49,7,LOW
49749,3,0.41,1,19758,0.6,23,12,0.4,8,MEDIUM
26907,6,0.65,10,70780,0.0,21,23,2.63,7,HIGH
28777,10,0.58,5,8178,0.6,80,9,0.28,7,LOW
61745,10,0.69,2,36831,0.4,67,0,0.6,5,LOW
91818,9,0.75,7,7176,0.6,135,24,0.08,2,LOW
33624,1,0.43,3,38654,0.0,111,7,1.15,6,HIGH
33321,5,0.47,4,31627,0.05,53,21,0.95,4,HIGH
20488,4,0.74,3,57550,0.0,59,15,2.81,10,HIGH
32574,8,0.61,3,49910,0.0,103,12,1.53,2,HIGH
15240,1,0.84,4,63251,0.0,56,2,4.15,9,HIGH
53221,9,0.79,5,40422,0.24,104,2,0.76,7,LOW
20478,6,0.91,1,16984,0.17,121,23,0.83,6,HIGH
65645,4,0.82,4,66386,0.0,122,4,1.01,5,MEDIUM
29262,9,0.66,8,12135,0.59,11,25,0.41,3,MEDIUM
62796,5,0.8,10,5320,0.6,50,10,0.08,10,LOW
14432,5,0.57,7,26684,0.0,50,29,1.85,10,HIGH
74291,5,0.58,9,60913,0.18,104,6,0.82,4,MEDIUM
89104,1,0.87,5,26889,0.6,148,20,0.3,3,HIGH
69399,1,0.67,10,53899,0.22,58,23,0.78,8,HIGH
89714,8,0.88,4,15770,0.6,66,9,0.18,3,LOW
60428,8,0.89,8,44321,0.27,133,9,0.73,7,LOW
97731,6,0.91,9,46777,0.52,53,19,0.48,7,LOW
10302,4,0.95,7,51250,0.0,29,1,4.97,7,HIGH
92558,2,0.66,7,78034,0.16,14,2,0.84,7,MEDIUM
10055,2,0.59,5,45130,0.0,122,7,4.49,2,HIGH
18717,9,0.75,4,54346,0.0,148,30,2.9,10,HIGH
38699,5,0.62,10,7537,0.6,96,10,0.19,3,LOW
83686,4,0.76,1,20216,0.6,138,12,0.24,10,LOW
77661,10,0.82,10,8009,0.6,148,6,0.1,9,LOW
54247,1,0.81,10,34327,0.37,84,12,0.63,3,MEDIUM
26748,7,0.62,7,19209,0.28,75,1,0.72,2,LOW
14621,3,0.5,1,53443,0.0,82,5,3.66,9,HIGH
25034,6,0.66,1,20029,0.2,47,8,0.8,10,MEDIUM
15126,5,0.49,5,72613,0.0,94,30,4.8,9,HIGH
15122,5,0.93,9,61997,0.0,82,19,4.1,4,HIGH
28030,5,0.61,6,67559,0.0,30,24,2.41,9,HIGH
92838,1,0.49,3,69892,0.25,125,1,0.75,3,HIGH
94717,1,0.42,3,75409,0.2,49,17,0.8,7,HIGH
65658,3,0.79,7,13635,0.6,67,15,0.21,7,LOW
48638,10,0.78,6,38065,0.22,72,24,0.78,8,LOW
77067,4,0.6,9,38783,0.5,6,11,0.5,10,LOW
98869,5,0.44,6,39152,0.6,146,6,0.4,4,MEDIUM
44674,2,0.65,5,63741,0.0,112,6,1.43,3,HIGH
45854,8,0.59,10,56502,0.0,34,16,1.23,3,MEDIUM
56271,2,0.81,7,34092,0.39,53,12,0.61,5,MEDIUM
83688,9,0.76,1,22653,0.6,144,10,0.27,1,LOW
48518,2,0.62,7,45469,0.06,48,5,0.94,10,MEDIUM
20267,9,0.53,3,64754,0.0,17,28,3.2,3,HIGH
11062,7,0.99,9,34978,0.0,82,22,3.16,6,HIGH
60448,8,0.67,6,48169,0.2,130,26,0.8,3,HIGH
16229,2,0.81,9,53287,0.0,102,13,3.28,5,HIGH
66793,7,0.48,5,59745,0.11,30,5,0.89,9,MEDIUM
57915,6,0.69,7,10543,0.6,52,5,0.18,2,LOW
14632,4,0.42,4,61392,0.0,70,1,4.2,2,HIGH
13596,7,0.7,7,26067,0.0,91,21,1.92,6,HIGH
16168,4,0.98,1,56033,0.0,83,19,3.47,6,HIGH
17561,2,0.63,7,50256,0.0,27,24,2.86,8,HIGH
83794,10,0.42,8,74345,0.11,85,14,0.89,2,MEDIUM
92152,7,0.42,5,27191,0.6,52,27,0.3,9,MEDIUM
36734,8,0.63,2,77742,0.0,128,16,2.12,2,HIGH
16371,2,0.5,5,33992,0.0,134,28,2.08,1,HIGH
36069,5,0.41,6,53803,0.0,88,7,1.49,10,MEDIUM
89905,1,0.85,2,68477,0.24,24,4,0.76,2,HIGH
22910,7,0.68,6,18210,0.21,50,16,0.79,7,MEDIUM
83479,8,0.57,6,31270,0.6,135,19,0.37,8,LOW
87735,6,0.94,1,67008,0.24,16,0,0.76,5,MEDIUM
91264,5,0.47,1,10197,0.6,44,21,0.11,6,HIGH
33275,6,0.97,10,12452,0.6,70,17,0.37,1,LOW
82274,2,0.59,3,46486,0.43,104,14,0.57,6,HIGH
91449,1,0.93,10,19859,0.6,82,4,0.22,8,LOW
70004,7,0.76,10,32236,0.54,20,6,0.46,3,LOW
72981,7,0.9,3,36899,0.49,87,17,0.51,1,MEDIUM
94659,10,0.99,4,37083,0.6,48,5,0.39,4,LOW
64553,10,0.57,2,72708,0.0,138,21,1.13,1,HIGH
58447,2,0.98,9,21663,0.6,104,20,0.37,8,LOW
44529,2,0.63,10,24053,0.46,26,4,0.54,5,LOW
85703,1,0.63,7,16085,0.6,22,29,0.19,1,HIGH
86090,10,0.6,7,35564,0.59,16,18,0.41,8,LOW
27260,8,0.72,6,64095,0.0,127,30,2.35,9,HIGH
13812,8,0.49,3,74517,0.0,121,9,5.4,10,HIGH
38024,1,0.73,6,26153,0.31,55,14,0.69,2,HIGH
68656,8,0.73,8,10247,0.6,75,9,0.15,9,LOW
37285,9,0.86,8,15553,0.58,52,26,0.42,8,LOW
11605,4,0.9,9,25811,0.0,23,15,2.22,7,HIGH
81158,1,0.66,1,11135,0.6,10,11,0.14,3,HIGH
82303,1,0.58,1,10573,0.6,88,17,0.13,2,HIGH
37139,3,0.56,3,12189,0.6,57,22,0.33,7,HIGH
87149,5,0.52,3,48646,0.44,111,0,0.56,5,MEDIUM
66138,5,0.43,10,58687,0.11,105,15,0.89,6,MEDIUM
86125,9,0.61,8,73312,0.15,52,21,0.85,4,MEDIUM
23918,10,0.56,10,32564,0.0,139,5,1.36,2,MEDIUM
95655,2,0.98,1,33835,0.6,73,2,0.35,9,LOW
37446,2,0.73,2,66587,0.0,15,1,1.78,3,HIGH
23046,6,0.61,2,12697,0.45,147,27,0.55,7,HIGH
34818,9,0.75,3,78922,0.0,135,1,2.27,8,MEDIUM
14324,1,0.48,6,22046,0.0,126,29,1.54,2,HIGH
86323,9,0.67,1,62823,0.27,73,12,0.73,6,MEDIUM
19111,9,0.78,2,78580,0.0,27,8,4.11,8,HIGH
48110,9,0.69,1,58370,0.0,41,15,1.21,7,HIGH
26389,5,0.64,5,14615,0.45,13,26,0.55,3,HIGH
51427,9,1.0,7,10060,0.6,19,4,0.2,1,LOW
89579,4,0.93,8,65519,0.27,135,22,0.73,6,MEDIUM
38746,2,0.77,10,76117,0.0,97,27,1.96,8,HIGH
97886,6,0.74,1,66158,0.32,21,20,0.68,6,HIGH
10117,4,0.77,7,39782,0.0,76,6,3.93,5,HIGH
94471,6,0.52,5,63255,0.33,125,12,0.67,8,MEDIUM
23234,3,0.64,10,77684,0.0,15,19,3.34,2,HIGH
63441,6,0.42,1,61918,0.02,76,23,0.98,1,HIGH
10846,2,0.69,3,30256,0.0,110,28,2.79,1,HIGH
20954,2,0.73,7,35005,0.0,129,26,1.67,4,HIGH
89239,9,0.54,10,11638,0.6,39,29,0.13,6,LOW
56514,7,0.98,1,42419,0.25,123,25,0.75,9,MEDIUM
98236,3,0.95,7,38377,0.6,18,12,0.39,1,MEDIUM
16469,1,0.83,5,48116,0.0,18,26,2.92,1,HIGH
40105,8,0.72,1,41634,0.0,14,25,1.04,5,HIGH
52101,6,0.92,1,28382,0.46,144,6,0.54,10,LOW
74323,7,0.48,1,61063,0.18,42,9,0.82,5,HIGH
68067,9,0.87,9,27394,0.6,112,14,0.4,5,LOW
59376,5,0.47,3,72789,0.0,123,20,1.23,10,HIGH
55587,1,0.88,5,5864,0.6,38,26,0.11,6,HIGH
46976,10,0.57,10,45222,0.04,14,5,0.96,8,LOW
77584,7,0.93,9,18666,0.6,126,4,0.24,3,LOW
88477,5,0.97,6,25955,0.6,149,22,0.29,9,LOW
52533,3,0.49,9,74590,0.0,149,27,1.42,1,HIGH
11828,9,0.68,8,71471,0.0,119,1,6.04,4,HIGH
11917,1,0.99,8,48298,0.0,5,20,4.05,9,HIGH
30618,1,0.69,1,68108,0.0,16,14,2.22,8,HIGH
42254,1,0.92,9,53924,0.0,107,25,1.28,10,HIGH
57362,3,0.75,6,21709,0.6,8,15,0.38,9,LOW
30128,6,0.63,9,14726,0.51,145,30,0.49,1,HIGH
69383,10,0.57,3,65824,0.05,102,18,0.95,9,MEDIUM
75545,3,0.52,3,45542,0.4,110,8,0.6,3,HIGH
92180,8,0.86,6,25245,0.6,89,28,0.27,10,LOW
97958,10,0.63,9,39753,0.59,125,21,0.41,9,LOW
19865,2,0.71,7,26316,0.0,136,28,1.32,1,HIGH
12219,9,0.7,3,20960,0.0,86,25,1.72,1,HIGH
49809,3,0.75,3,35791,0.28,23,18,0.72,9,HIGH
15287,5,0.92,2,30216,0.0,134,6,1.98,6,HIGH
44387,10,0.99,9,37467,0.16,16,3,0.84,4,LOW
18512,8,0.64,3,69427,0.0,85,29,3.75,7,HIGH
11342,2,0.9,5,67047,0.0,78,2,5.91,5,HIGH
73076,6,0.86,9,78290,0.0,102,23,1.07,10,MEDIUM
29216,5,0.74,8,52014,0.0,10,28,1.78,7,HIGH
89767,10,0.97,2,9078,0.6,140,19,0.1,8,LOW
36614,9,0.52,3,55519,0.0,129,10,1.52,8,MEDIUM
46258,5,0.47,2,9042,0.6,55,0,0.2,1,MEDIUM
52078,2,0.91,8,54052,0.0,15,5,1.04,8,MEDIUM
93524,5,0.66,6,19389,0.6,131,25,0.21,6,MEDIUM
22219,4,0.91,6,73111,0.0,144,10,3.29,4,HIGH
10235,7,0.94,9,55733,0.0,77,26,5.45,8,HIGH
52929,6,0.44,8,39754,0.25,6,0,0.75,3,MEDIUM
77444,2,0.93,4,23624,0.6,12,20,0.31,4,HIGH
18567,5,0.67,4,31681,0.0,143,6,1.71,6,HIGH
80792,7,0.71,9,29704,0.6,128,30,0.37,7,MEDIUM
75441,7,0.78,1,12493,0.6,57,5,0.17,4,LOW
94555,5,0.96,2,74639,0.21,14,13,0.79,4,HIGH
83698,9,0.41,2,59383,0.29,116,1,0.71,7,LOW
15415,4,0.69,6,7994,0.48,12,26,0.52,6,HIGH
46159,3,0.81,4,74280,0.0,40,3,1.61,8,HIGH
53925,4,0.83,10,52234,0.03,110,10,0.97,1,HIGH
15951,5,0.82,3,52291,0.0,18,14,3.28,10,HIGH
97388,6,0.48,3,10594,0.6,90,17,0.11,7,MEDIUM
18007,3,0.58,3,12371,0.31,54,26,0.69,7,HIGH
51832,2,0.62,6,52315,0.0,24,0,1.01,7,MEDIUM
68596,4,0.88,8,21626,0.6,91,30,0.32,7,MEDIUM
40523,5,0.57,7,12130,0.6,139,2,0.3,10,LOW
